fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Manuel dos SANTOS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,21918,Partido Socialista,manuel___santos
Daciana Octavia SÂRBU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,33989,Partidul Social Democrat,DacianaSarbu
Judith SARGENTINI,Netherlands,Group of the Greens/European Free Alliance,96815,GroenLinks,judithineuropa
Petri SARVAMAA,Finland,Group of the European People's Party (Christian Democrats),112611,Kansallinen Kokoomus,petrisarvamaa
Jacek SARYUSZ-WOLSKI,Poland,Non-attached Members,28297,Bezpartyjny,JSaryuszWolski
David-Maria SASSOLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96864,Partito Democratico,DavidSassoli
Algirdas SAUDARGAS,Lithuania,Group of the European People's Party (Christian Democrats),96696,Tėvynės sąjunga-Lietuvos krikščionys demokratai,SaudargasA
Marietje SCHAAKE,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,96945,Democraten 66,MarietjeSchaake
Jean-Luc SCHAFFHAUSER,France,Europe of Nations and Freedom Group,124755,Rassemblement bleu Marine,JLSchaffhauser
Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet,SchaldemoseMEP
Martin SCHIRDEWAN,Germany,Confederal Group of the European United Left - Nordic Green Left,190517,DIE LINKE.,schirdewan
Elly SCHLEIN,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124804,-,ellyesse
Claudia SCHMIDT,Austria,Group of the European People's Party (Christian Democrats),125016,Österreichische Volkspartei,Schmidt_Clau
Helmut SCHOLZ,Germany,Confederal Group of the European United Left - Nordic Green Left,96646,DIE LINKE.,helmutscholzmep
György SCHÖPFLIN,Hungary,Group of the European People's Party (Christian Democrats),28135,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,schopflinMEP
Annie SCHREIJER-PIERIK,Netherlands,Group of the European People's Party (Christian Democrats),125030,Christen Democratisch Appèl,AnnieSchreijer
Sven SCHULZE,Germany,Group of the European People's Party (Christian Democrats),124809,Christlich Demokratische Union Deutschlands,schulzeeuropa
Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands,
Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands,Andreas_Schwab
Giancarlo SCOTTA',Italy,Europe of Nations and Freedom Group,96996,Lega Nord,
Molly SCOTT CATO,United Kingdom,Group of the Greens/European Free Alliance,124942,Green Party,mollymep
